Train_Number_All,isReturn,isOneway,dept_datetime
A,0,0,2010/9/19
B,1,0,2019/5/27
B,1,0,2020/5/31
C,1,0,2012/10/19
B,1,0,2020/5/31
D,1,0,2020/5/23
E,1,0,2019/5/23
C,1,0,2019/10/18
F,0,0,2019/10/14
G,1,0,2008/12/19
B,1,0,2020/4/30
H,0,0,2008/9/19
B,1,0,2020/4/30
I,1,0,2005/9/20
D,1,0,2019/12/31
F,0,0,2005/4/20
D,1,0,2019/12/31
D,1,0,2019/12/13
J,0,0,2012/11/19
B,1,0,2005/7/19
K,1,0,2019/12/18
D,1,0,2019/5/22
B,1,0,2019/8/31
D,1,0,2012/12/19
A,0,0,2019/5/18
E,0,0,2012/7/19
B,1,0,2019/9/14
C,1,0,2003/7/19
H,0,0,2003/5/19
B,1,0,2010/1/19
I,1,0,2019/12/31
I,1,0,2019/6/30
C,1,0,2005/11/19
C,1,0,2005/10/19
B,1,0,2019/8/16
C,1,0,2010/6/19
F,0,0,2005/6/19
L,0,1,2019/11/18
F,0,0,2010/1/19
B,1,0,2019/5/30
I,1,0,2019/7/20
M,0,0,2008/9/19
B,1,0,2019/10/25
J,0,0,2019/10/22
F,0,0,2019/7/15
C,1,0,2019/6/30
G,1,0,2019/3/16
B,1,0,2020/1/24
I,1,0,2019/12/20
J,0,0,2003/1/19
F,0,0,2003/12/19
K,0,1,2019/11/22
G,1,0,2019/3/16
D,1,0,2005/1/19
B,1,0,2019/4/26
F,0,0,2003/12/19
G,1,0,2019/12/31
G,1,0,2019/5/28
E,0,0,2019/4/24
F,0,0,2003/10/19
I,1,0,2019/12/20
E,0,0,2019/5/26
C,1,0,2019/6/30
B,1,0,2010/8/19
G,1,0,2019/7/25
D,1,0,2019/6/22
E,0,0,2019/7/22
B,1,0,2019/11/24
K,1,0,2002/2/19
B,1,0,2019/11/23
I,1,0,2019/11/23
B,1,0,2019/11/24
D,1,0,2019/11/23
J,0,0,2019/6/16
E,0,0,2019/11/20
F,0,0,2019/11/20
F,0,0,2019/11/19
C,1,0,2019/12/24
I,1,0,2004/10/19
C,1,0,2019/9/30
J,0,0,2019/11/18
I,1,0,2007/12/19
H,0,0,2004/8/19
I,1,0,2012/7/19
B,1,0,2019/2/21
C,1,0,2019/2/24
F,0,0,2003/1/19
E,0,0,2007/8/19
L,0,0,2019/2/18
F,0,0,2012/3/19
B,1,0,2019/6/30
I,1,0,2001/1/19
C,1,0,2019/5/24
D,1,0,2001/11/20
B,1,0,2018/12/29
C,1,0,2019/1/25
I,1,0,2019/4/17
E,0,0,2001/8/20
I,1,0,2001/2/19
E,0,0,2019/5/20
B,1,0,2019/3/30
C,1,0,2018/12/29
B,1,0,2019/8/30
G,1,0,2019/11/24
C,1,0,2019/8/30
A,0,0,2018/12/26
L,0,0,2019/1/20
B,1,0,2019/2/15
E,0,0,2019/9/17
L,1,0,2018/12/31
E,0,0,2019/11/20
F,0,0,2019/3/25
B,1,0,2009/12/19
D,1,0,2019/8/21
E,0,0,2004/10/19
E,0,0,2018/12/23
J,0,0,2009/5/19
C,1,0,2006/2/19
B,1,0,2019/8/24
J,0,0,2019/8/19
C,1,0,2019/9/30
C,1,0,2018/12/14
G,1,0,2019/2/22
J,0,0,2009/9/19
C,1,0,2009/1/19
J,1,0,2019/1/31
H,0,0,2019/2/21
I,1,0,2019/2/28
C,1,0,2019/12/20
I,1,0,2019/5/31
G,1,0,2019/12/20
B,1,0,2019/5/23
C,1,0,2019/10/21
C,1,0,2019/9/23
C,1,0,2019/1/16
G,1,0,2006/6/19
G,1,0,2012/5/19
F,0,0,2019/5/27
L,0,0,2012/11/18
H,0,0,2018/12/19
F,0,0,2019/5/27
C,1,0,2002/3/19
E,0,0,2019/1/13
B,1,0,2019/8/24
E,0,0,2019/8/25
L,0,0,2012/2/19
C,1,0,2018/12/14
C,1,0,2019/6/14
C,1,0,2019/12/20
G,1,0,2019/12/16
B,1,0,2019/6/19
H,0,0,2012/3/18
E,0,0,2009/8/19
E,0,0,2019/6/16
G,1,0,2019/5/13
J,0,0,2006/9/19
C,1,0,2019/3/17
C,1,0,2012/6/18
B,1,0,2019/10/19
B,1,0,2019/5/16
G,1,0,2019/6/13
D,1,0,2019/12/13
G,1,0,2006/12/19
C,1,0,2019/12/20
J,1,0,2003/6/19
E,0,0,2006/10/19
C,1,0,2019/5/29
D,1,0,2018/11/28
E,0,0,2019/10/15
E,0,0,2012/10/19
B,1,0,2019/2/15
L,0,0,2012/1/18
G,1,0,2008/1/19
G,1,0,2019/10/27
C,1,0,2018/11/30
D,1,0,2012/12/19
B,1,0,2009/1/19
G,1,0,2018/11/21
H,0,0,2011/12/19
E,0,0,2005/9/19
D,1,0,2018/11/24
G,1,0,2019/2/26
B,1,0,2019/12/13
B,1,0,2019/11/21
C,1,0,2012/2/18
H,0,1,2019/10/24
L,0,0,2018/11/26
M,0,0,2019/2/24
B,1,0,2009/1/19
E,0,0,2003/11/19
B,1,0,2012/2/18
C,1,0,2019/3/15
I,0,1,2019/10/18
I,1,0,2019/10/27
E,0,0,2003/4/19
B,1,0,2018/12/22
B,1,0,2019/10/28
E,0,0,2018/11/18
I,1,0,2003/8/19
C,1,0,2003/8/19
E,0,0,2019/11/15
C,1,0,2019/4/26
I,1,0,2018/11/16
L,0,0,2018/11/26
J,0,0,2019/11/25
B,1,0,2004/5/19
F,0,0,2019/10/25
J,0,0,2011/11/18
H,0,0,2003/10/19
E,0,0,2003/5/19
B,1,0,2011/10/18
G,1,0,2011/10/18
J,1,0,2011/9/18
F,0,0,2003/4/19
F,0,0,2019/4/22
E,0,0,2019/10/21
E,0,0,2011/12/18
B,1,0,2019/11/15
E,0,0,2004/1/19
E,0,0,2018/11/24
I,1,0,2018/12/14
G,0,1,2019/3/15
C,1,0,2019/10/31
B,1,0,2011/2/19
A,0,1,2019/10/25
E,0,0,2012/11/18
F,0,0,2019/10/29
C,1,0,2019/5/15
D,1,0,2019/10/25
M,0,0,2011/2/18
H,0,0,2011/2/18
B,1,0,2019/3/30
K,1,0,2011/1/19
B,1,0,2019/7/27
I,1,0,2005/10/19
G,1,0,2011/9/18
G,1,0,2008/1/19
B,1,0,2011/8/18
G,1,0,2011/9/18
G,1,0,2019/1/24
I,1,0,2002/1/19
E,0,0,2019/10/21
F,0,0,2019/2/20
L,0,0,2019/1/22
G,1,0,2008/1/19
C,1,0,2019/10/20
E,0,0,2011/5/18
C,1,0,2019/8/28
N,1,0,2018/10/30
I,1,0,2009/1/19
E,0,0,2011/5/18
C,1,0,2019/8/28
G,1,0,2019/8/28
C,1,0,2010/8/19
A,0,0,2018/10/29
G,1,0,2019/10/26
E,0,0,2019/7/21
I,1,0,2004/7/19
C,1,0,2019/8/28
G,1,0,2019/8/28
G,1,0,2009/12/19
C,1,0,2019/9/20
C,1,0,2019/5/31
B,1,0,2019/6/20
I,1,0,2007/5/19
C,1,0,2019/8/28
G,1,0,2019/8/28
J,0,0,2019/8/26
J,0,0,2019/8/25
K,1,0,2019/1/17
C,1,0,2019/4/25
D,1,0,2011/8/19
E,0,0,2019/8/26
J,0,0,2019/8/25
M,0,0,2019/10/23
H,0,0,2019/9/18
C,1,0,2019/3/26
E,0,0,2007/3/19
E,0,0,2019/8/26
J,0,0,2019/8/25
F,0,0,2019/4/23
K,1,0,2019/3/22
G,1,0,2019/3/22
H,0,0,2019/6/17
B,1,0,2003/1/19
J,0,0,2019/8/25
F,0,0,2009/8/19
G,0,1,2019/9/20
D,1,0,2018/11/21
E,0,0,2011/5/19
E,0,0,2019/10/13
F,0,0,2010/2/19
F,0,0,2019/1/13
C,1,0,2011/11/18
E,0,0,2019/3/19
B,1,0,2019/1/18
E,0,0,2019/10/19
D,1,0,2019/7/19
G,0,1,2001/3/19
C,1,0,2019/6/23
D,1,0,2018/12/29
G,1,0,2018/11/23
C,1,0,2011/11/18
K,1,0,2003/9/19
B,1,0,2018/11/17
J,0,0,2019/3/18
K,1,0,2011/8/19
L,0,0,2019/3/21
L,1,0,2018/11/30
J,1,0,2019/6/16
I,1,0,2018/11/23
J,0,0,2019/2/25
D,1,0,2019/9/25
C,1,0,2011/10/18
K,1,0,2001/9/19
D,1,0,2010/5/19
I,1,0,2019/6/22
G,1,0,2019/10/18
F,0,0,2019/1/15
C,1,0,2019/9/20
G,1,0,2011/9/18
C,1,0,2019/3/15
B,1,0,2019/3/22
J,0,0,2011/5/19
F,0,0,2018/11/20
L,0,0,2001/7/19
F,0,0,2003/5/19
B,1,0,2003/7/19
B,1,0,2007/11/19
H,0,0,2019/9/18
E,0,0,2019/7/14
D,0,0,2006/12/19
E,0,0,2011/6/18
F,0,0,2010/2/19
L,0,0,2019/10/15
N,1,0,2011/5/18
J,0,1,2011/6/18
C,1,0,2019/4/13
B,1,0,2019/8/16
B,1,0,2019/4/27
G,1,0,2003/9/19
F,0,0,2019/3/25
G,1,0,2011/9/18
D,1,0,2003/12/19
A,0,0,2011/11/18
E,0,0,2019/3/19
D,1,0,2019/10/22
L,0,0,2009/6/19
E,0,0,2011/4/18
F,0,0,2019/5/31
D,1,0,2011/3/18
L,0,0,2019/6/16
D,1,0,2018/10/26
D,1,0,2012/1/18
B,1,0,2019/8/23
E,0,0,2011/5/18
C,1,0,2003/3/19
B,1,0,2003/10/19
D,1,0,2001/7/19
B,1,0,2002/3/19
J,0,0,2003/4/19
D,1,0,2007/5/19
A,1,0,2010/3/19
C,1,0,2011/1/18
E,0,0,2011/3/18
J,0,0,2011/2/18
E,0,0,2003/10/19
N,1,0,2019/10/25
F,0,0,2019/10/25
B,1,0,2006/2/19
J,0,0,2019/6/16
E,0,0,2007/7/19
F,0,0,2004/10/19
L,0,0,2011/10/18
B,1,0,2019/1/17
A,0,0,2011/6/18
B,1,0,2019/5/16
F,0,0,2003/1/19
B,1,0,2019/9/21
B,1,0,2019/3/20
K,1,0,2019/9/21
C,1,0,2019/4/15
C,1,0,2011/1/18
J,0,0,2019/5/15
H,0,0,2003/8/19
G,1,0,2019/3/22
E,0,0,2007/2/19
E,0,0,2018/10/22
C,1,0,2005/8/19
C,1,0,2019/10/16
E,0,0,2019/3/18
A,0,0,2019/1/30
K,0,0,2019/9/29
A,0,0,2019/1/14
J,0,0,2011/11/18
J,0,0,2019/8/18
G,1,0,2019/9/21
L,0,0,2019/1/29
B,1,0,2019/2/26
G,1,0,2019/2/26
B,1,0,2019/1/27
E,0,0,2018/10/29
E,0,0,2005/6/19
I,1,0,2018/10/21
I,1,0,2008/9/19
C,1,0,2003/4/19
E,0,0,2019/9/17
H,0,0,2019/3/19
G,1,0,2019/3/15
G,1,0,2018/12/31
B,1,0,2004/5/19
E,0,0,2019/4/19
I,1,0,2019/6/14
C,1,0,2011/10/18
G,1,0,2011/10/18
C,1,0,2007/7/19
E,0,0,2019/10/13
B,1,0,2010/12/18
H,0,0,2019/9/16
C,1,0,2019/10/20
D,1,0,2018/11/29
M,0,0,2019/2/28
C,1,0,2019/2/14
E,0,0,2009/11/19
H,0,0,2019/6/21
B,1,0,2019/10/27
K,1,0,2005/10/19
D,1,0,2005/5/19
E,0,0,2019/10/13
A,1,0,2019/2/14
E,0,0,2019/2/23
J,0,0,2019/2/23
A,0,0,2019/2/23
B,1,0,2019/9/20
K,1,0,2019/3/23
H,0,0,2018/10/18
E,0,0,2019/9/17
D,1,0,2019/6/29
J,1,0,2010/10/18
F,0,0,2019/2/22
G,1,0,2019/2/22
E,0,0,2006/11/19
D,1,0,2018/12/20
I,1,0,2012/12/18
E,0,0,2019/9/17
F,0,0,2019/9/16
E,0,0,2019/9/13
G,1,0,2019/10/25
C,1,0,2009/11/19
B,1,0,2019/10/18
C,1,0,2019/3/29
I,1,0,2019/3/29
H,0,0,2003/11/19
F,0,0,2019/2/21
E,0,0,2004/1/19
F,0,0,2004/7/19
D,1,0,2018/12/29
C,1,0,2019/8/14
E,0,0,2018/11/26
F,0,0,2012/11/18
I,1,0,2019/1/30
J,0,0,2019/3/31
E,0,0,2008/4/19
E,0,0,2019/2/27
F,0,0,2019/2/27
E,0,0,2010/8/18
E,0,0,2005/7/19
B,1,0,2019/2/25
G,1,0,2009/5/19
C,1,0,2019/9/15
H,0,0,2019/2/20
K,1,0,2018/11/25
G,1,0,2008/1/19
C,1,0,2019/4/30
A,0,0,2011/5/18
B,1,0,2019/9/21
G,1,0,2008/3/19
A,0,0,2005/1/19
I,1,0,2004/3/19
C,1,0,2004/7/19
K,0,0,2002/10/19
A,0,1,2011/4/18
C,1,0,2018/11/16
D,1,0,2010/12/18
J,0,0,2018/11/18
B,1,0,2004/1/19
F,0,0,2012/11/18
F,0,0,2011/4/18
M,0,0,2019/10/22
E,0,0,2019/10/22
J,0,0,2019/10/22
C,1,0,2019/8/31
C,1,0,2010/6/18
J,0,0,2019/10/15
B,1,0,2012/7/18
A,0,0,2009/3/19
K,1,0,2018/11/25
D,1,0,2018/11/25
C,1,0,2008/11/19
A,0,0,2019/1/27
D,1,0,2019/7/25
H,0,0,2012/8/18
E,0,0,2019/10/21
H,0,0,2019/10/21
K,1,0,2002/10/19
F,0,0,2009/7/19
H,0,0,2019/3/25
B,1,0,2004/5/19
E,0,0,2019/10/13
E,0,0,2019/3/25
B,0,1,2002/3/19
C,1,0,2019/3/29
B,1,0,2018/11/21
E,0,0,2018/11/14
D,1,0,2019/7/27
D,1,0,2008/10/19
C,1,0,2019/8/18
B,1,0,2012/9/18
I,1,0,2019/6/23
B,1,0,2019/1/13
M,0,0,2019/7/31
I,1,0,2018/12/20
A,0,0,2019/6/23
G,1,0,2019/6/30
E,0,0,2018/11/21
C,1,0,2019/3/29
G,1,0,2019/9/28
F,0,0,2019/3/16
D,1,0,2010/11/19
C,1,0,2019/3/28
D,1,0,2012/11/18
G,1,0,2019/3/15
C,1,0,2019/9/20
I,1,0,2011/6/18
G,1,0,2019/6/28
D,1,0,2019/10/19
I,1,0,2019/3/30
E,0,0,2019/9/20
A,0,0,2004/3/19
E,0,0,2009/10/19
L,0,0,2008/8/19
C,1,0,2004/12/19
J,0,0,2018/12/21
H,0,0,2010/2/18
H,0,0,2019/6/27
E,0,0,2004/2/19
A,1,0,2012/6/18
G,1,0,2019/9/26
F,0,0,2019/9/18
F,0,0,2011/4/18
B,1,0,2001/10/19
G,1,0,2004/10/19
F,0,0,2012/2/18
D,1,0,2019/4/24
F,0,0,2019/3/25
B,1,0,2018/10/27
B,1,0,2019/7/24
A,0,0,2018/11/29
E,0,0,2010/8/19
E,0,0,2012/11/18
E,0,0,2019/3/25
I,1,0,2008/4/19
G,1,0,2003/5/19
E,0,0,2011/12/18
G,1,0,2019/6/18
L,0,0,2019/2/17
I,1,0,2018/9/30
B,1,0,2005/5/19
G,1,0,2019/2/26
F,0,0,2019/3/25
F,0,0,2019/9/24
J,0,0,2018/12/20
E,0,0,2019/1/13
I,1,0,2018/12/31
F,0,0,2019/3/25
K,1,0,2011/2/18
I,1,0,2018/12/22
E,0,0,2003/4/19
L,0,0,2003/11/19
E,0,0,2019/9/13
B,1,0,2003/5/19
E,0,0,2004/8/19
G,1,0,2019/7/19
B,1,0,2006/2/19
L,0,0,2019/10/15
C,1,0,2019/3/29
D,1,0,2019/8/29
F,0,0,2004/8/19
B,1,0,2003/9/19
D,1,0,2012/1/18
B,1,0,2019/8/30
B,1,0,2005/3/19
K,1,0,2005/11/19
J,0,0,2018/12/14
I,1,0,2019/9/20
E,0,0,2019/4/21
G,1,0,2005/3/19
E,0,0,2019/7/21
B,1,0,2009/1/19
D,1,0,2010/10/19
D,1,0,2018/11/22
E,0,0,2019/6/22
C,1,0,2019/3/15
C,1,0,2012/12/18
E,0,0,2005/2/19
E,0,0,2019/2/23
B,1,0,2001/4/19
F,0,0,2005/2/19
E,0,0,2019/7/20
I,1,0,2019/5/18
C,1,0,2011/2/18
C,1,0,2003/8/19
G,1,0,2001/10/19
C,1,0,2019/8/30
E,0,0,2019/7/16
G,1,0,2019/4/30
B,1,0,2019/8/22
B,1,0,2003/1/19
G,0,1,2009/4/19
I,1,0,2007/1/19
B,1,0,2003/8/19
E,0,0,2018/10/29
C,1,0,2019/3/15
D,1,0,2019/3/15
F,0,0,2001/4/19
L,0,0,2003/1/19
I,1,0,2018/11/16
B,1,0,2019/3/22
G,1,0,2019/4/30
C,1,0,2018/11/28
B,1,0,2018/12/13
F,0,0,2019/3/25
H,0,0,2018/10/21
H,0,0,2011/11/18
E,0,0,2010/7/19
E,0,0,2018/11/19
C,1,0,2019/2/24
C,1,0,2019/2/28
G,1,0,2007/12/19
G,1,0,2019/8/20
N,1,0,2019/8/22
C,1,0,2018/9/17
C,1,0,2018/9/18
C,1,0,2005/12/19
L,0,0,2019/8/28
I,1,0,2018/11/22
F,0,0,2003/12/19
G,1,0,2005/2/19
B,1,0,2018/9/29
D,1,0,2019/1/13
H,0,0,2019/5/15
G,1,0,2018/11/17
D,1,0,2001/9/19
E,0,0,2018/11/26
C,1,0,2018/10/23
F,0,0,2018/11/13
F,0,0,2019/8/25
E,0,0,2019/5/27
L,0,0,2018/11/26
F,0,0,2005/6/19
J,1,0,2010/5/18
E,1,0,2019/6/14
B,1,0,2003/4/19
E,0,0,2019/2/23
B,1,0,2003/8/19
B,1,0,2011/9/18
D,1,0,2004/8/19
C,1,0,2018/11/16
J,0,0,2018/10/29
C,1,0,2011/6/18
I,1,0,2018/12/15
B,1,0,2019/7/14
E,0,0,2003/4/19
D,1,0,2019/3/17
D,1,0,2018/10/20
E,0,0,2019/3/19
E,0,0,2019/4/30
B,1,0,2019/9/22
K,1,0,2006/9/19
G,1,0,2018/11/30
D,1,0,2019/1/31
J,0,0,2009/1/19
K,1,0,2001/11/19
I,1,0,2018/9/14
C,1,0,2010/11/18
G,1,0,2010/12/18
I,1,0,2018/12/13
D,1,0,2019/7/27
L,0,0,2019/2/21
B,1,0,2019/3/15
E,0,0,2003/11/19
C,1,0,2003/3/19
J,0,0,2007/9/19
I,1,0,2018/10/21
D,1,0,2018/12/17
G,1,0,2019/8/23
C,1,0,2004/7/19
D,1,0,2018/10/29
F,0,0,2011/12/18
D,1,0,2019/2/28
H,0,0,2006/9/19
G,1,0,2005/2/19
E,0,0,2019/4/25
A,0,0,2012/9/18
I,1,0,2005/5/19
E,0,0,2019/6/26
I,1,0,2002/1/19
C,1,0,2009/9/18
J,0,0,2018/11/14
C,1,0,2019/2/27
E,0,0,2007/10/19
C,1,0,2019/3/22
N,1,0,2011/9/18
I,1,0,2019/8/21
E,0,0,2003/10/19
B,1,0,2019/1/18
E,0,0,2019/8/18
F,0,0,2018/9/13
C,1,0,2007/11/19
J,0,0,2005/8/19
D,1,0,2018/11/23
C,1,0,2012/6/18
G,1,0,2012/7/18
E,0,0,2019/4/25
J,0,0,2019/3/17
L,0,0,2019/9/20
E,0,0,2019/9/20
D,1,0,2012/8/18
B,1,0,2007/10/19
G,1,0,2019/6/22
C,1,0,2019/7/23
J,0,0,2018/11/13
I,1,0,2003/1/19
D,1,0,2003/2/19
D,1,0,2008/2/19
I,1,0,2019/7/19
K,1,0,2018/11/30
G,1,0,2019/5/25
B,1,0,2003/7/19
G,1,0,2019/6/14
I,1,0,2018/12/14
I,1,0,2019/6/29
D,1,0,2019/3/15
B,1,0,2019/3/15
B,1,0,2018/12/28
D,1,0,2019/8/23
M,0,0,2012/6/18
K,1,0,2006/6/19
D,1,0,2018/9/20
A,0,0,2018/11/27
E,0,0,2019/2/28
G,1,0,2019/3/26
K,1,0,2019/3/27
G,1,0,2019/3/27
G,1,0,2019/9/20
G,1,0,2018/9/28
G,1,0,2007/9/19
C,1,0,2019/7/24
H,0,0,2004/3/19
D,1,0,2006/11/19
G,1,0,2019/3/29
F,0,0,2010/8/18
F,0,0,2010/9/18
F,0,0,2019/8/19
G,1,0,2019/1/25
C,1,0,2019/8/28
D,1,0,2019/2/27
F,0,0,2012/4/18
H,0,0,2019/2/25
E,0,0,2019/4/29
B,1,0,2019/6/21
I,1,0,2018/11/16
D,0,0,2018/9/30
F,0,0,2005/2/19
E,0,0,2003/3/19
E,0,0,2018/9/23
B,1,0,2007/7/19
B,1,0,2007/10/19
E,0,0,2018/9/17
F,0,0,2003/12/19
H,0,0,2004/3/19
B,1,0,2018/11/18
G,1,0,2019/2/21
E,0,0,2019/2/24
G,1,0,2008/8/19
A,0,0,2003/11/19
I,1,0,2010/1/19
C,1,0,2010/3/18
B,1,0,2018/12/20
K,1,0,2019/4/30
H,0,0,2018/10/17
F,0,0,2019/8/27
H,0,0,2009/11/18
C,1,0,2011/1/18
B,1,0,2019/1/16
B,1,0,2010/1/19
A,0,0,2018/10/15
G,1,0,2010/11/18
F,0,0,2009/9/19
F,0,0,2012/2/18
G,1,0,2019/3/27
C,1,0,2012/12/18
I,1,0,2007/7/19
E,0,0,2019/7/20
F,0,0,2001/6/19
A,0,0,2009/9/18
A,0,0,2018/11/27
F,0,0,2019/3/18
F,0,0,2006/9/19
I,1,0,2019/6/25
E,0,0,2019/1/22
F,0,0,2019/2/26
I,1,0,2009/11/19
D,1,0,2018/10/24
B,1,0,2012/8/18
E,0,0,2019/8/18
A,0,0,2007/7/19
J,0,0,2018/10/31
E,0,0,2019/2/25
K,1,0,2018/12/20
B,1,0,2018/10/31
E,0,0,2019/3/20
B,1,0,2011/12/18
C,1,0,2019/9/23
H,0,0,2012/4/18
E,0,0,2003/4/19
C,1,0,2019/3/15
E,0,0,2009/4/18
B,1,0,2007/7/19
H,0,0,2007/6/19
B,1,0,2019/6/22
C,1,0,2019/2/23
B,1,0,2008/2/19
F,0,0,2019/2/25
K,1,0,2003/12/19
C,1,0,2018/11/16
L,0,0,2003/3/19
E,0,0,2006/10/19
H,0,0,2012/10/18
C,1,0,2019/3/22
B,1,0,2019/2/24
D,1,0,2019/2/24
G,1,0,2003/12/19
F,0,0,2018/10/30
B,1,0,2018/11/24
E,0,0,2003/11/19
J,0,0,2018/11/19
E,0,0,2007/7/19
J,0,0,2007/7/19
G,1,0,2019/9/30
F,0,0,2003/11/19
L,0,0,2019/1/13
A,0,0,2019/8/25
H,0,0,2004/1/19
J,0,0,2018/11/18
G,1,0,2018/9/14
C,1,0,2010/12/18
B,1,0,2003/1/19
I,1,0,2005/5/19
L,0,0,2019/3/22
E,0,0,2019/3/23
E,0,0,2019/9/16
E,0,0,2018/9/24
B,1,0,2007/7/19
M,0,0,2007/5/19
A,0,0,2007/4/19
G,1,0,2001/4/19
I,1,0,2012/8/18
K,1,0,2009/8/18
H,0,0,2008/5/19
D,1,0,2018/10/27
I,1,0,2018/12/30
B,1,0,2010/12/18
I,1,0,2007/4/19
C,1,0,2007/7/19
C,1,0,2019/9/22
E,0,0,2009/9/19
E,0,0,2019/8/18
B,1,0,2004/4/19
E,0,0,2003/9/19
H,0,0,2011/12/18
K,1,0,2003/2/19
D,1,0,2018/12/14
A,0,0,2018/10/22
B,1,0,2009/6/18
A,0,0,2006/1/19
E,0,0,2011/12/18
C,0,1,2009/10/18
A,0,0,2019/3/22
C,1,0,2018/11/24
D,1,0,2018/12/26
E,0,0,2007/4/19
H,0,0,2007/3/19
H,0,0,2007/6/19
C,1,0,2019/1/13
C,1,0,2018/9/23
H,0,0,2019/2/17
M,0,0,2003/10/19
B,1,0,2019/9/13
E,0,0,2019/8/14
C,1,0,2019/3/29
J,0,0,2019/3/24
F,0,0,2018/11/22
B,1,0,2018/11/25
E,0,0,2012/9/18
B,1,0,2018/12/16
B,1,0,2019/4/27
L,0,0,2018/10/28
L,0,0,2019/6/16
L,0,0,2019/9/20
D,1,0,2005/1/19
G,1,0,2019/4/26
D,1,0,2008/8/19
B,1,0,2003/1/19
B,1,0,2003/1/19
H,0,0,2019/3/23
B,1,0,2018/12/26
C,1,0,2019/7/23
D,1,0,2018/9/26
D,1,0,2018/11/15
C,1,0,2012/7/18
C,1,0,2019/2/21
G,1,0,2019/3/13
C,1,0,2019/4/27
G,1,0,2018/9/21
B,1,0,2019/3/15
B,1,0,2018/12/19
K,1,0,2012/8/18
J,0,0,2012/12/18
I,1,0,2018/11/23
C,1,0,2008/8/19
C,1,0,2005/3/19
C,1,0,2010/12/18
G,1,0,2018/9/14
I,1,0,2019/8/30
G,1,0,2009/6/19
A,0,0,2010/9/18
E,0,0,2019/2/26
C,1,0,2019/7/19
B,0,1,2019/7/24
D,0,1,2005/6/19
E,0,1,2001/9/19
J,0,0,2005/2/19
G,1,0,2018/11/16
I,1,0,2018/10/26
F,0,0,2003/11/19
J,0,0,2018/11/22
B,1,0,2007/7/19
G,1,0,2007/9/19
H,0,0,2007/3/19
C,1,0,2019/2/21
K,1,0,2007/5/19
F,0,0,2019/3/18
D,1,0,2019/5/23
B,1,0,2019/1/25
L,0,0,2007/4/19
E,0,0,2012/3/18
B,1,0,2018/11/30
E,0,0,2004/1/19
C,1,0,2011/2/18
C,1,0,2010/12/18
J,0,0,2009/3/18
E,0,0,2018/10/22
K,1,0,2019/5/20
J,0,0,2009/10/18
C,0,1,2019/7/23
H,1,0,2019/7/22
F,0,0,2019/2/27
G,1,0,2008/1/19
D,1,0,2018/10/28
D,1,0,2018/12/23
D,1,0,2009/1/19
G,1,0,2007/7/19
C,1,0,2007/9/19
G,1,0,2007/9/19
J,0,0,2019/7/21
A,0,0,2018/9/20
H,0,0,2019/6/17
J,0,0,2019/2/18
H,0,0,2019/7/28
A,0,0,2011/11/18
C,1,0,2019/2/24
C,1,0,2003/5/19
J,0,0,2010/8/18
F,0,0,2018/9/26
F,0,0,2019/9/18
E,0,0,2018/12/17
C,1,0,2019/1/16
G,1,0,2019/2/28
F,0,0,2019/4/24
F,0,0,2019/2/26
B,1,0,2019/4/16
A,0,0,2008/6/19
C,1,0,2018/11/29
A,0,0,2005/1/19
A,0,0,2012/3/18
C,1,0,2019/2/28
H,0,0,2010/4/18
J,0,1,2019/1/28
C,1,0,2019/9/25
C,1,0,2018/9/19
E,0,0,2008/5/19
F,0,0,2018/12/22
F,0,0,2007/9/19
K,1,0,2019/2/16
E,0,0,2011/12/18
M,0,0,2003/10/19
B,1,0,2007/2/19
E,0,0,2003/11/19
E,0,0,2018/10/17
D,1,0,2019/5/20
F,0,0,2012/5/18
G,1,0,2019/3/26
G,1,0,2007/6/19
A,0,0,2018/10/22
D,1,0,2011/4/18
B,1,0,2019/2/27
E,0,0,2019/5/18
B,1,0,2009/8/19
A,0,0,2009/11/18
L,0,0,2009/3/19
C,1,0,2011/4/18
C,1,0,2019/1/27
L,1,0,2019/8/30
L,1,0,2005/10/19
F,0,1,2001/6/19
F,0,0,2019/4/22
C,1,0,2018/11/30
K,1,0,2004/5/19
E,0,0,2019/2/25
C,1,0,2008/4/19
A,0,0,2018/10/26
J,0,0,2018/12/21
J,0,0,2019/8/30
H,0,0,2007/4/19
G,1,0,2018/11/20
E,0,0,2012/2/18
J,0,0,2007/2/19
A,0,0,2009/8/19
A,0,0,2003/3/19
H,0,0,2012/3/18
I,1,0,2005/10/19
E,0,0,2019/2/17
H,0,0,2019/2/17
E,0,0,2009/2/18
F,0,0,2003/5/19
J,0,0,2019/3/24
I,1,0,2006/8/19
L,0,0,2018/9/17
E,0,0,2003/11/19
J,0,0,2003/11/19
C,1,0,2006/7/19
D,1,0,2008/6/19
B,1,0,2019/7/20
A,0,0,2019/1/14
I,1,0,2019/4/30
F,0,0,2019/8/26
D,1,0,2019/4/26
F,0,0,2019/9/23
C,1,0,2003/7/19
B,1,0,2008/3/19
H,0,0,2007/6/19
M,0,0,2007/5/19
H,0,0,2007/4/19
I,1,0,2018/12/14
B,1,0,2006/5/19
G,1,0,2018/10/29
H,0,0,2019/2/17
B,1,0,2019/2/16
H,0,0,2019/5/13
C,1,0,2004/12/19
E,0,0,2019/2/16
A,0,0,2019/2/24
G,1,0,2010/12/18
C,1,0,2019/4/26
